model,auc,threshold,n_selected,precision,recall,f1,type1_error,type2_error,avg_t1_ret,total_t1_ret
v4,0.6670831208567058,0.2,227,0.1894273127753304,0.581081081081081,0.2857142857142857,0.3471698113207547,0.4189189189189189,-0.011319176058542442,-2.5694529652891345
v4,0.6670831208567058,0.25,135,0.23703703703703705,0.43243243243243246,0.3062200956937799,0.19433962264150945,0.5675675675675675,-0.01210768892938018,-1.6345380054663243
v4,0.6670831208567058,0.3,92,0.30434782608695654,0.3783783783783784,0.3373493975903615,0.12075471698113208,0.6216216216216216,-0.009779002129370084,-0.8996681959020477
v4,0.6670831208567058,0.35,63,0.30158730158730157,0.25675675675675674,0.27737226277372257,0.0830188679245283,0.7432432432432432,-0.010286831920442973,-0.6480704109879073
v4,0.6670831208567058,0.39999999999999997,42,0.30952380952380953,0.17567567567567569,0.2241379310344828,0.05471698113207547,0.8243243243243243,-0.020512688829099658,-0.8615329308221856
v4,0.6670831208567058,0.44999999999999996,29,0.4482758620689655,0.17567567567567569,0.25242718446601947,0.03018867924528302,0.8243243243243243,-0.029591647810872253,-0.8581577865152954
v4,0.6670831208567058,0.49999999999999994,21,0.47619047619047616,0.13513513513513514,0.21052631578947367,0.020754716981132074,0.8648648648648649,-0.02714368456360458,-0.5700173758356962
v4,0.6670831208567058,0.5499999999999999,14,0.5714285714285714,0.10810810810810811,0.18181818181818182,0.011320754716981131,0.8918918918918919,-0.022102180928864155,-0.3094305330040982
v4,0.6670831208567058,0.5999999999999999,6,0.6666666666666666,0.05405405405405406,0.1,0.0037735849056603774,0.9459459459459459,-0.020355940355940357,-0.12213564213564214
v4,0.6670831208567058,0.6499999999999999,5,0.8,0.05405405405405406,0.10126582278481013,0.0018867924528301887,0.9459459459459459,-0.00699855699855699,-0.03499278499278495
v4,0.6670831208567058,0.7,2,0.5,0.013513513513513514,0.026315789473684213,0.0018867924528301887,0.9864864864864865,0.0,0.0
v4,0.6670831208567058,0.7499999999999998,1,1.0,0.013513513513513514,0.026666666666666665,0.0,0.9864864864864865,0.0,0.0
v4,0.6670831208567058,0.7999999999999998,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v5,0.6648138704742478,0.2,561,0.13012477718360071,0.9864864864864865,0.22992125984251968,0.9207547169811321,0.013513513513513514,-0.010714382417282488,-6.010768536095475
v5,0.6648138704742478,0.25,538,0.13382899628252787,0.972972972972973,0.23529411764705882,0.879245283018868,0.02702702702702703,-0.01068273463772691,-5.747311235097078
v5,0.6648138704742478,0.3,491,0.1364562118126273,0.9054054054054054,0.23716814159292038,0.8,0.0945945945945946,-0.010600929263270541,-5.205056268265835
v5,0.6648138704742478,0.35,434,0.14055299539170507,0.8243243243243243,0.24015748031496062,0.7037735849056603,0.17567567567567569,-0.010173810463675017,-4.415433741234957
v5,0.6648138704742478,0.39999999999999997,349,0.1518624641833811,0.7162162162162162,0.25059101654846333,0.5584905660377358,0.28378378378378377,-0.010318186626806003,-3.601047132755295
v5,0.6648138704742478,0.44999999999999996,255,0.1843137254901961,0.6351351351351351,0.28571428571428575,0.39245283018867927,0.36486486486486486,-0.011497847830743821,-2.9319511968396745
v5,0.6648138704742478,0.49999999999999994,200,0.21,0.5675675675675675,0.30656934306569344,0.2981132075471698,0.43243243243243246,-0.009276472432037643,-1.8552944864075285
v5,0.6648138704742478,0.5499999999999999,136,0.25,0.4594594594594595,0.3238095238095238,0.19245283018867926,0.5405405405405406,-0.007838900906644224,-1.0660905233036144
v5,0.6648138704742478,0.5999999999999999,101,0.26732673267326734,0.36486486486486486,0.30857142857142855,0.13962264150943396,0.6351351351351351,-0.009640665910709714,-0.9737072569816811
v5,0.6648138704742478,0.6499999999999999,71,0.2676056338028169,0.25675675675675674,0.2620689655172414,0.09811320754716982,0.7432432432432432,-0.016838966780481922,-1.1955666414142165
v5,0.6648138704742478,0.7,42,0.3333333333333333,0.1891891891891892,0.24137931034482757,0.052830188679245285,0.8108108108108109,-0.017734966727125764,-0.7448686025392821
v5,0.6648138704742478,0.7499999999999998,27,0.4444444444444444,0.16216216216216217,0.23762376237623764,0.02830188679245283,0.8378378378378378,-0.023072693202836184,-0.622962716476577
v5,0.6648138704742478,0.7999999999999998,14,0.6428571428571429,0.12162162162162163,0.20454545454545456,0.009433962264150943,0.8783783783783784,-0.019336455232301267,-0.27071037325221775
